Commercial_Compound,Training_Compound,Tanimoto_Similarity,Purchase
99,1,0.3737745098039216,0
100,1,0.42016806722689076,0
1,2,0.40902872777017785,0
3,2,0.3446327683615819,0
4,2,0.36093143596377747,0
5,2,0.36036036036036034,0
6,2,0.3416422287390029,0
7,2,0.3067669172932331,0
8,2,0.37186629526462395,0
9,2,0.28718703976435933,0
10,2,0.3353115727002967,0
11,2,0.3489736070381232,0
12,2,0.43740095087163233,0
13,2,0.3626666666666667,0
14,2,0.3104895104895105,0
15,2,0.3426183844011142,0
16,2,0.35286284953395475,0
17,2,0.303125,0
18,2,0.3557692307692308,0
19,2,0.37254901960784315,0
20,2,0.32167832167832167,0
21,2,0.3397932816537468,0
22,2,0.26676176890156916,0
23,2,0.3556851311953353,0
24,2,0.4273381294964029,1
25,2,0.38269794721407624,0
26,2,0.3521923620933522,1
27,2,0.3469387755102041,0
28,2,0.35,1
29,2,0.300944669365722,0
30,2,0.3256484149855908,0
31,2,0.46396396396396394,0
32,2,0.33835616438356164,0
33,2,0.3619550858652576,0
34,2,0.3740340030911901,0
35,2,0.31981981981981983,0
36,2,0.3503448275862069,1
37,2,0.3146374829001368,0
38,2,0.36178343949044584,0
39,2,0.34852941176470587,0
40,2,0.34738372093023256,0
41,2,0.33458646616541354,0
42,2,0.3855932203389831,1
43,2,0.326417704011065,0
44,2,0.571656050955414,0
45,2,0.3205317577548006,0
46,2,0.36540962288686607,0
47,2,0.36459909228441756,0
48,2,0.3841145833333333,0
49,2,0.382699868938401,0
50,2,0.3691194209891435,0
51,2,0.3258258258258258,0
52,2,0.3468586387434555,0
53,2,0.3286219081272085,0
54,2,0.3836477987421384,0
55,2,0.3644067796610169,0
56,2,0.38156028368794326,0
57,2,0.34,0
58,2,0.34465408805031444,0
59,2,0.375,0
60,2,0.3451910408432148,0
61,2,0.386066763425254,1
62,2,0.32671957671957674,0
63,2,0.351278600269179,0
64,2,0.35846153846153844,0
65,2,0.37516339869281046,0
66,2,0.3609129814550642,0
67,2,0.33008356545961004,0
68,2,0.35614525139664804,1
69,2,0.43306010928961747,0
70,2,0.389196675900277,0
71,2,0.3655778894472362,0
72,2,0.2809667673716012,0
73,2,0.3524390243902439,0
74,2,0.36407185628742517,0
75,2,0.327683615819209,0
76,2,0.44329896907216493,0
77,2,0.35244755244755244,1
78,2,0.3258575197889182,1
79,2,0.40889526542324245,0
80,2,0.3118440779610195,0
81,2,0.3393548387096774,0
82,2,0.2783661119515885,0
83,2,0.31760204081632654,0
84,2,0.34858681022880217,0
85,2,0.34146341463414637,0
86,2,0.38159675236806495,0
87,2,0.35838926174496644,1
88,2,0.35743519781718963,0
89,2,0.35172413793103446,0
90,2,0.338301043219076,0
91,2,0.3244949494949495,0
92,2,0.3333333333333333,0
93,2,0.4178470254957507,0
94,2,0.3337950138504155,1
95,2,0.3294964028776978,0
96,2,0.3700137551581843,0
97,2,0.3462157809983897,0
98,2,0.37317784256559766,0
99,2,0.41136671177266576,0
100,2,0.40963855421686746,0
1,3,0.4505208333333333,0
2,3,0.39487179487179486,1
4,3,0.390452876376989,0
5,3,0.41025641025641024,0
6,3,0.3760330578512397,0
7,3,0.3441466854724965,0
8,3,0.41215323645970936,0
9,3,0.33055555555555555,0
10,3,0.35911602209944754,0
11,3,0.3925104022191401,0
12,3,0.42795389048991356,0
13,3,0.4252577319587629,0
14,3,0.33989501312335957,0
15,3,0.3384418901660281,0
16,3,0.40485312899106,0
17,3,0.320863309352518,0
18,3,0.39271781534460337,0
19,3,0.4261119081779053,0
20,3,0.37017310252996005,0
21,3,0.38395061728395063,0
22,3,0.3152909336941813,0
23,3,0.3629032258064516,0
24,3,0.47599451303155005,1
25,3,0.4049247606019152,0
26,3,0.3885180240320427,1
27,3,0.38517618469015796,0
28,3,0.4140127388535032,1
29,3,0.336734693877551,0
30,3,0.3567567567567568,0
31,3,0.4667590027700831,0
32,3,0.40716180371352784,0
33,3,0.41857506361323155,0
34,3,0.3742937853107345,0
35,3,0.33936022253129344,0
36,3,0.3716129032258065,1
37,3,0.3536269430051813,0
38,3,0.3975757575757576,0
